,rotation,max_val,rotation_reverse,max_val_reverse,translation,x,y,z,score,reversed_diff,reversed_best,file_name,channel,roll,pitch,yaw,channel_reverse,roll_reverse,pitch_reverse,yaw_reverse
0,0,0,0,0,0,0,0,0,0,0,0,test_images/dynamic_unknowndeg_0to360_5degstep/A240105_15421687.png,0,0,0,0,0,0,0,0
0,"pitch/theta/X: 138.63, yaw/phi/Y: 40.95, roll/Z: 25.00",109.4880051899558,"pitch/theta/X: 138.63, yaw/phi/Y: 40.95, roll/Z: 25.00",109.70589705188763,"x: 0.93, y: 0.01, z: 20.89",0.9340920201204743,0.008981654039619945,20.887567533999874,0.007719789379534769,0.2178918619318324,True,test_images/dynamic_unknowndeg_0to360_5degstep/A240105_15331309.png,rb,25,138.626,40.95,rb,25,138.626,40.95
1,"pitch/theta/X: 55.45, yaw/phi/Y: -37.35, roll/Z: 48.00",98.33664576792329,"pitch/theta/X: 55.45, yaw/phi/Y: -37.35, roll/Z: 48.00",99.32180752249518,"x: 0.79, y: 0.01, z: 17.73",0.7927066422405761,0.007622179252313233,17.725998261193567,0.011106044466201281,0.9851617545718909,True,test_images/dynamic_unknowndeg_0to360_5degstep/A240105_15331309.png,rb,48,55.45,-37.35,rb,48,55.45,-37.35
2,"pitch/theta/X: 190.03, yaw/phi/Y: -85.95, roll/Z: 254.00",126.7555611915384,"pitch/theta/X: 190.03, yaw/phi/Y: -85.95, roll/Z: 254.00",126.03665918891342,"x: 0.98, y: 0.01, z: 21.95",0.9815106886915481,0.009437602775880271,21.9479134322797,0.01646089604706652,-0.7189020026249864,False,test_images/dynamic_unknowndeg_0to360_5degstep/A240105_15331309.png,rg,254,190.031,-85.95,rg,254,190.031,-85.95
3,"pitch/theta/X: 137.51, yaw/phi/Y: -88.65, roll/Z: 308.00",129.2040024839104,"pitch/theta/X: 137.51, yaw/phi/Y: -88.65, roll/Z: 308.00",128.36699540441091,"x: 0.98, y: 0.01, z: 21.95",0.9815565112090915,0.009438043377010494,21.94893808607092,0.017995858936570686,-0.8370070794994717,False,test_images/dynamic_unknowndeg_0to360_5degstep/A240105_15331309.png,rb,308,137.508,-88.65,rb,308,137.508,-88.65
4,"pitch/theta/X: 137.51, yaw/phi/Y: -88.65, roll/Z: 308.00",129.07141699337114,"pitch/theta/X: 137.51, yaw/phi/Y: -88.65, roll/Z: 308.00",128.2535537123787,"x: 0.98, y: 0.01, z: 21.96",0.9821903893684404,0.009444138359311927,21.963112463516115,0.01803168774710348,-0.8178632809924409,False,test_images/dynamic_unknowndeg_0to360_5degstep/A240105_15331309.png,rg,308,137.508,-88.65,rg,308,137.508,-88.65
5,"pitch/theta/X: 52.52, yaw/phi/Y: -86.85, roll/Z: 33.00",131.05833614091915,"pitch/theta/X: 52.52, yaw/phi/Y: -86.85, roll/Z: 33.00",130.04711795633412,"x: 0.98, y: 0.01, z: 21.93",0.9808538992734271,0.009431287493013724,21.933226727938894,0.019326800093984714,-1.011218184585033,False,test_images/dynamic_unknowndeg_0to360_5degstep/A240105_15331309.png,rg,33,52.523,-86.85,rg,33,52.523,-86.85
6,"pitch/theta/X: 20.06, yaw/phi/Y: -82.35, roll/Z: 65.00",130.1298825635076,"pitch/theta/X: 20.06, yaw/phi/Y: -82.35, roll/Z: 65.00",128.900595391862,"x: 0.98, y: 0.01, z: 21.94",0.9813197615351176,0.009435766937837669,21.943644041482955,0.01934864735183575,-1.229287171645609,False,test_images/dynamic_unknowndeg_0to360_5degstep/A240105_15331309.png,rg,65,20.062,-82.35,rg,65,20.062,-82.35
7,"pitch/theta/X: 190.03, yaw/phi/Y: -85.95, roll/Z: 255.00",127.60083954192866,"pitch/theta/X: 190.03, yaw/phi/Y: -85.95, roll/Z: 255.00",126.8401133516318,"x: 0.99, y: 0.01, z: 22.04",0.9857569086505619,0.00947843181394771,22.04286468359933,0.019500957485799608,-0.7607261902968645,False,test_images/dynamic_unknowndeg_0to360_5degstep/A240105_15331309.png,rb,255,190.031,-85.95,rb,255,190.031,-85.95
8,"pitch/theta/X: 52.52, yaw/phi/Y: -86.85, roll/Z: 33.00",130.48160837511145,"pitch/theta/X: 52.52, yaw/phi/Y: -86.85, roll/Z: 33.00",129.49132109983847,"x: 0.98, y: 0.01, z: 21.92",0.9803345774079363,0.00942629401353785,21.921613984971746,0.019565675742413663,-0.9902872752729763,False,test_images/dynamic_unknowndeg_0to360_5degstep/A240105_15331309.png,rb,33,52.523,-86.85,rb,33,52.523,-86.85
9,"pitch/theta/X: 242.55, yaw/phi/Y: -83.25, roll/Z: 201.00",124.84842145845587,"pitch/theta/X: 242.55, yaw/phi/Y: -83.25, roll/Z: 201.00",124.17306363906329,"x: 0.97, y: 0.01, z: 21.73",0.9717046699372786,0.009343314134012294,21.728637520958827,0.020024857081564623,-0.6753578193925875,False,test_images/dynamic_unknowndeg_0to360_5degstep/A240105_15331309.png,rb,201,242.554,-83.25,rb,201,242.554,-83.25
10,"pitch/theta/X: 327.54, yaw/phi/Y: -85.05, roll/Z: 117.00",128.39232610674114,"pitch/theta/X: 327.54, yaw/phi/Y: -85.05, roll/Z: 117.00",127.64339147551127,"x: 0.98, y: 0.01, z: 21.88",0.9784864025336891,0.009408523101285472,21.88028628205924,0.022790392255784664,-0.7489346312298721,False,test_images/dynamic_unknowndeg_0to360_5degstep/A240105_15331309.png,rb,117,327.539,-85.05,rb,117,327.539,-85.05
11,"pitch/theta/X: 327.54, yaw/phi/Y: -85.05, roll/Z: 117.00",128.26152346546368,"pitch/theta/X: 327.54, yaw/phi/Y: -85.05, roll/Z: 117.00",127.37450214983346,"x: 0.97, y: 0.01, z: 21.80",0.9748740607340245,0.009373789045519465,21.799509408184807,0.022881090360141215,-0.8870213156302214,False,test_images/dynamic_unknowndeg_0to360_5degstep/A240105_15331309.png,rg,117,327.539,-85.05,rg,117,327.539,-85.05
12,"pitch/theta/X: 0.00, yaw/phi/Y: -89.55, roll/Z: 79.00",133.97545980075526,"pitch/theta/X: 0.00, yaw/phi/Y: -89.55, roll/Z: 79.00",133.07241660791422,"x: 0.98, y: 0.01, z: 21.81",0.9752635521331426,0.009377534155126372,21.80821896541017,0.023650702933165207,-0.9030431928410394,False,test_images/dynamic_unknowndeg_0to360_5degstep/A240105_15331309.png,rb,79,0.0,-89.55,rb,79,0.0,-89.55
13,"pitch/theta/X: 0.00, yaw/phi/Y: -89.55, roll/Z: 79.00",134.02684697566846,"pitch/theta/X: 0.00, yaw/phi/Y: -89.55, roll/Z: 79.00",133.1085884005136,"x: 0.98, y: 0.01, z: 21.81",0.975378108427001,0.009378635657951934,21.810780599888222,0.023730496582313687,-0.9182585751548515,False,test_images/dynamic_unknowndeg_0to360_5degstep/A240105_15331309.png,rg,79,0.0,-89.55,rg,79,0.0,-89.55
14,"pitch/theta/X: 275.02, yaw/phi/Y: -87.75, roll/Z: 170.00",127.14265130868449,"pitch/theta/X: 275.02, yaw/phi/Y: -87.75, roll/Z: 170.00",126.49330844509028,"x: 0.97, y: 0.01, z: 21.80",0.9747976898714523,0.009373054710302427,21.797801651866113,0.024809386359709473,-0.6493428635942138,False,test_images/dynamic_unknowndeg_0to360_5degstep/A240105_15331309.png,rg,170,275.016,-87.75,rg,170,275.016,-87.75
15,"pitch/theta/X: 105.05, yaw/phi/Y: -84.15, roll/Z: 340.00",125.48985831531624,"pitch/theta/X: 105.05, yaw/phi/Y: -84.15, roll/Z: 340.00",124.39360856406815,"x: 0.99, y: 0.01, z: 22.05",0.9858561907719056,0.009479386449729862,22.045084766813638,0.025105041100853737,-1.096249751248095,False,test_images/dynamic_unknowndeg_0to360_5degstep/A240105_15331309.png,rb,340,105.047,-84.15,rb,340,105.047,-84.15
16,"pitch/theta/X: 275.02, yaw/phi/Y: -87.75, roll/Z: 170.00",127.0584366025171,"pitch/theta/X: 275.02, yaw/phi/Y: -87.75, roll/Z: 170.00",126.39115020804563,"x: 0.97, y: 0.01, z: 21.79",0.9746525852325649,0.009371659473390049,21.794556914860582,0.02513074236823873,-0.6672863944714749,False,test_images/dynamic_unknowndeg_0to360_5degstep/A240105_15331309.png,rb,170,275.016,-87.75,rb,170,275.016,-87.75
